shipping_id,order_id,shipping_date,return_date,shipping_prov,delivery_status
68,12887,13/11/23,,bluedart,Delivered
69,1047,10/7/2022,,dhl,Delivered
70,20270,23/08/22,,bluedart,Delivered
71,2798,24/05/23,,fedex,Delivered
72,11538,5/4/2022,,ups,Delivered
73,17444,26/03/23,,ups,Delivered
74,1920,9/10/2020,,dhl,Delivered
75,16273,1/9/2020,,fedex,Delivered
76,5871,11/1/2021,,ups,Delivered
77,529,25/07/22,,ups,Delivered
78,18693,17/01/22,,ups,Delivered
79,20905,19/05/21,,bluedart,Delivered
80,1493,8/4/2020,,dhl,Delivered
81,12303,20/12/20,,dhl,Delivered
82,1136,17/10/23,,bluedart,Delivered
83,16313,21/04/23,,bluedart,Delivered
84,20637,17/03/21,,ups,Delivered
85,15914,1/5/2023,,ups,Delivered
86,6638,17/10/20,,fedex,Delivered
87,10463,16/09/21,,ups,Delivered
88,19515,29/12/20,,fedex,Delivered
89,11253,2/2/2022,,dhl,Delivered
90,734,12/11/2021,,dhl,Delivered
91,13330,18/11/21,,fedex,Delivered
92,17266,20/03/21,,bluedart,Delivered
93,6741,25/05/20,,ups,Delivered
94,17429,7/6/2020,,bluedart,Delivered
95,2808,25/01/22,,bluedart,Delivered
96,15648,12/7/2023,,fedex,Delivered
97,6330,9/10/2021,,dhl,Delivered
98,12392,5/3/2023,,fedex,Delivered
99,17625,29/12/21,,dhl,Delivered
100,4687,16/09/21,,bluedart,Delivered
101,7739,30/11/23,,ups,Delivered
102,4401,11/11/2022,,bluedart,Delivered
103,21240,2/12/2020,,bluedart,Delivered
104,973,2/11/2022,,dhl,Delivered
105,5264,11/5/2020,,dhl,Delivered
106,2711,19/07/21,,ups,Delivered
107,20124,26/09/20,,dhl,Delivered
108,18120,12/9/2022,,dhl,Delivered
109,2536,27/05/20,,ups,Delivered
110,1339,7/5/2020,,dhl,Delivered
111,4327,21/09/23,,fedex,Delivered
112,20517,6/5/2020,,fedex,Delivered
113,5186,16/05/21,,bluedart,Delivered
114,10826,27/10/20,,fedex,Delivered
115,8183,21/03/23,,bluedart,Delivered
116,2807,14/01/23,,fedex,Delivered
117,20159,16/07/20,,ups,Delivered
118,13759,13/05/23,,dhl,Delivered
119,11141,9/1/2021,,ups,Delivered
120,9886,21/12/23,,bluedart,Delivered
121,12408,14/10/21,,dhl,Delivered
122,3017,19/07/21,,fedex,Delivered
123,2806,25/10/23,,ups,Delivered
124,12649,25/04/22,,bluedart,Delivered
125,14125,19/10/22,,bluedart,Delivered
126,2441,15/01/24,,dhl,Delivered
127,13735,25/09/23,,bluedart,Delivered
128,4915,1/2/2024,,fedex,Delivered
129,15993,3/2/2022,,bluedart,Delivered
130,14075,13/10/23,,fedex,Delivered
131,20632,19/04/21,,fedex,Delivered
132,13016,21/01/23,,fedex,Delivered
133,20776,6/3/2020,,ups,Delivered
134,9292,28/10/20,,fedex,Delivered
135,19553,18/01/23,,bluedart,Delivered
136,5820,18/04/22,,ups,Delivered
137,14938,4/1/2021,,ups,Delivered
138,9242,15/10/21,,fedex,Delivered
139,18515,28/10/23,,ups,Delivered
140,15758,1/2/2021,,ups,Delivered
141,5500,18/08/20,,dhl,Delivered
142,4016,11/9/2022,,bluedart,Delivered
143,7318,9/12/2020,,ups,Delivered
144,17754,20/07/23,,bluedart,Delivered
145,10683,19/10/22,,dhl,Delivered
146,12562,17/08/23,,dhl,Delivered
147,8853,21/08/21,,ups,Delivered
148,9859,23/11/21,,dhl,Delivered
149,15535,23/01/20,,dhl,Delivered
150,12812,14/06/21,,ups,Delivered
151,5734,1/12/2022,,bluedart,Delivered
152,12706,29/06/22,,dhl,Delivered
153,17614,21/02/21,,dhl,Delivered
154,20596,30/05/23,,dhl,Delivered
155,19608,8/7/2022,,bluedart,Delivered
156,16421,8/9/2021,,ups,Delivered
157,7385,28/05/20,,ups,Delivered
158,19868,15/08/22,,fedex,Delivered
159,5959,8/10/2020,,dhl,Delivered
160,15303,8/12/2023,,dhl,Delivered
161,8489,22/08/21,,ups,Delivered
162,12510,14/08/20,,ups,Delivered
163,12113,22/10/20,,bluedart,Delivered
164,783,19/07/23,,ups,Delivered
165,9128,17/10/22,,fedex,Delivered
166,4369,25/11/21,,bluedart,Delivered
167,21183,23/08/21,,ups,Delivered
168,11512,22/03/21,,fedex,Delivered
169,18862,1/12/2023,,bluedart,Delivered
170,16256,1/6/2022,,ups,Delivered
171,1864,24/03/22,,dhl,Delivered
172,2172,4/1/2024,,fedex,Delivered
173,16011,26/06/20,,ups,Delivered
174,1928,7/10/2021,,fedex,Delivered
175,1306,14/02/21,,fedex,Delivered
176,11862,8/5/2021,,bluedart,Delivered
177,14842,14/10/20,,dhl,Delivered
178,5628,26/05/22,,fedex,Delivered
179,18677,1/8/2021,,bluedart,Delivered
180,12642,5/9/2023,,dhl,Delivered
181,16485,29/06/20,,bluedart,Delivered
182,5087,15/01/20,,bluedart,Delivered
183,19902,25/05/20,,dhl,Delivered
184,9229,7/3/2020,,fedex,Delivered
185,15088,28/01/21,,bluedart,Delivered
186,10391,23/08/20,,dhl,Delivered
187,14571,12/5/2020,,dhl,Delivered
188,8664,9/3/2020,,fedex,Delivered
189,8807,27/06/21,,bluedart,Delivered
190,10573,26/10/20,,bluedart,Delivered
191,8627,1/11/2022,,dhl,Delivered
192,13761,5/10/2020,,fedex,Delivered
193,6228,26/01/23,,fedex,Delivered
194,15750,10/5/2021,,bluedart,Delivered
195,2235,7/2/2021,,bluedart,Delivered
196,12201,10/11/2022,,ups,Delivered
197,16292,17/06/22,,bluedart,Delivered
198,15299,12/10/2020,,bluedart,Delivered
199,16630,25/01/22,,fedex,Delivered
200,3810,3/11/2020,,ups,Delivered
201,1276,26/03/21,,fedex,Delivered
202,6882,10/3/2023,,ups,Delivered
203,10540,25/04/22,,fedex,Delivered
204,9487,3/8/2021,,ups,Delivered
205,7067,30/01/21,,ups,Delivered
206,15819,31/03/23,,fedex,Delivered
207,14024,26/07/23,,bluedart,Delivered
208,9880,29/03/20,,fedex,Delivered
209,4231,24/01/23,,ups,Delivered
210,8021,10/10/2022,,bluedart,Delivered
211,17229,7/5/2023,,bluedart,Delivered
212,18789,2/9/2022,,dhl,Delivered
213,13113,3/2/2021,,fedex,Delivered
214,1513,26/08/21,,bluedart,Delivered
215,11924,15/02/23,,bluedart,Delivered
216,9695,27/11/20,,bluedart,Delivered
217,6337,17/12/21,,ups,Delivered
218,9937,6/7/2020,,fedex,Delivered
219,19171,26/06/21,,fedex,Delivered
220,15768,3/2/2021,,dhl,Delivered
221,14850,5/6/2023,,fedex,Delivered
222,4658,8/3/2021,,dhl,Delivered
223,18039,22/02/21,,fedex,Delivered
224,10514,6/1/2021,,fedex,Delivered
225,12095,27/05/21,,bluedart,Delivered
226,1403,23/06/20,,fedex,Delivered
227,20583,28/01/20,,dhl,Delivered
228,7872,21/06/20,,bluedart,Delivered
229,17959,27/05/21,,bluedart,Delivered
230,6239,22/05/23,,bluedart,Delivered
231,2420,5/8/2021,,bluedart,Delivered
232,491,13/01/22,,bluedart,Delivered
233,12573,12/3/2023,,bluedart,Delivered
234,16077,3/10/2020,,fedex,Delivered
235,712,28/06/21,,fedex,Delivered
236,6136,28/12/21,,ups,Delivered
237,415,29/05/20,,ups,Delivered
238,12534,3/9/2021,,fedex,Delivered
239,142,18/05/21,,fedex,Delivered
240,1929,4/8/2020,,fedex,Delivered
241,9698,22/04/20,,ups,Delivered
242,20446,23/03/22,,dhl,Delivered
243,17676,3/1/2021,,bluedart,Delivered
244,18206,18/07/23,,ups,Delivered
245,483,4/6/2023,,fedex,Delivered
246,20472,11/10/2020,,ups,Delivered
247,2482,19/11/20,,fedex,Delivered
248,15718,18/01/23,,fedex,Delivered
249,21115,9/11/2020,,ups,Delivered
250,18453,18/04/21,,dhl,Delivered
251,1258,7/2/2023,,ups,Delivered
252,14848,11/4/2022,,ups,Delivered
253,14928,10/12/2021,,fedex,Delivered
254,18670,25/04/22,,fedex,Delivered
255,18612,6/1/2023,,ups,Delivered
256,18571,15/10/21,,dhl,Delivered
257,17467,16/01/20,,ups,Delivered
258,8255,11/8/2022,,dhl,Delivered
259,3928,5/6/2021,,dhl,Delivered
260,18058,19/01/23,,bluedart,Delivered
261,8366,31/08/20,,ups,Delivered
262,11654,19/01/21,,dhl,Delivered
263,20980,23/05/20,,dhl,Delivered
264,17988,9/4/2021,,ups,Delivered
265,2532,21/01/21,,fedex,Delivered
266,5695,17/06/23,,bluedart,Delivered
267,16284,16/04/21,,ups,Delivered
268,2765,14/07/23,,ups,Delivered
269,19177,18/11/21,,bluedart,Delivered
270,1715,7/10/2022,,bluedart,Delivered
271,20397,12/6/2022,,ups,Delivered
272,11439,8/11/2023,,bluedart,Delivered
273,17655,9/4/2020,,fedex,Delivered
274,297,20/09/23,,dhl,Delivered
275,20028,21/12/23,,bluedart,Delivered
276,9110,28/08/23,,dhl,Delivered
277,16243,24/12/22,,dhl,Delivered
278,14045,16/12/22,,fedex,Delivered
279,7909,2/7/2021,,ups,Delivered
280,17950,20/11/21,,ups,Delivered
281,5573,6/1/2020,,ups,Delivered
282,501,8/11/2022,,bluedart,Delivered
283,11324,8/8/2022,,dhl,Delivered
284,16666,8/11/2020,,dhl,Delivered
285,18779,24/01/20,,bluedart,Delivered
286,16228,8/2/2021,,bluedart,Delivered
287,6669,24/07/21,,dhl,Delivered
288,5675,16/07/22,,ups,Delivered
289,6151,14/01/23,,fedex,Delivered
290,1376,23/05/22,,fedex,Delivered
291,4638,27/01/21,,bluedart,Delivered
292,8352,20/11/20,,ups,Delivered
293,10421,8/2/2024,,dhl,Delivered
294,4400,25/08/20,,bluedart,Delivered
295,12957,4/1/2020,,bluedart,Delivered
296,9333,26/11/22,,dhl,Delivered
297,12925,9/6/2021,,bluedart,Delivered
298,1408,1/4/2020,,bluedart,Delivered
299,10074,16/10/23,,ups,Delivered
300,17186,2/12/2021,,fedex,Delivered
301,471,15/07/21,,dhl,Delivered
302,10508,21/08/20,,dhl,Delivered
303,5982,11/11/2020,,bluedart,Delivered
304,12430,16/04/20,,fedex,Delivered
305,10109,29/01/22,,bluedart,Delivered
306,1904,15/01/20,,fedex,Delivered
307,7084,2/5/2021,,dhl,Delivered
308,7328,12/6/2023,,dhl,Delivered
309,787,8/11/2021,,fedex,Delivered
310,3725,11/4/2021,,dhl,Delivered
311,7058,27/12/20,,dhl,Delivered
312,19949,8/5/2023,,ups,Delivered
313,6084,15/02/22,,fedex,Delivered
314,14156,24/04/21,,ups,Delivered
315,21407,20/04/20,,bluedart,Delivered
316,17844,4/5/2022,,bluedart,Delivered
317,7912,15/07/20,,ups,Delivered
318,18475,21/12/20,,ups,Delivered
319,3950,5/4/2020,,dhl,Delivered
320,20081,26/10/22,,ups,Delivered
321,3538,23/09/22,,ups,Delivered
322,8360,28/06/23,,ups,Delivered
323,12939,4/11/2022,,fedex,Delivered
324,13575,12/7/2022,,fedex,Delivered
325,2751,22/11/23,,dhl,Delivered
326,2207,8/2/2021,,bluedart,Delivered
327,17309,22/10/21,,ups,Delivered
328,18432,7/8/2020,,dhl,Delivered
329,11275,26/12/23,,fedex,Delivered
330,3942,4/7/2020,,ups,Delivered
331,9328,2/3/2020,,ups,Delivered
332,7814,28/09/20,,dhl,Delivered
333,5677,7/1/2023,,fedex,Delivered
334,19825,13/08/20,,dhl,Delivered
335,18334,31/12/21,,fedex,Delivered
336,12846,7/2/2020,,fedex,Delivered
337,18417,15/03/23,,ups,Delivered
338,15624,17/07/23,,ups,Delivered
339,11103,15/07/22,,fedex,Delivered
340,8517,19/04/21,,fedex,Delivered
341,10293,22/04/23,,fedex,Delivered
342,4563,11/6/2021,,bluedart,Delivered
343,15438,14/09/23,,dhl,Delivered
344,15640,21/10/21,,bluedart,Delivered
345,11892,15/10/23,,dhl,Delivered
346,8858,12/10/2023,,fedex,Delivered
347,572,11/8/2022,,fedex,Delivered
348,17924,26/06/22,,dhl,Delivered
349,20312,25/06/20,,bluedart,Delivered
350,4494,30/08/23,,fedex,Delivered
351,14478,2/7/2022,,ups,Delivered
352,2200,20/11/22,,dhl,Delivered
353,20720,26/10/20,,fedex,Delivered
354,20850,17/02/23,,bluedart,Delivered
355,14933,8/4/2021,,dhl,Delivered
356,11088,15/08/20,,bluedart,Delivered
357,5545,28/07/23,,fedex,Delivered
358,17652,21/07/23,,fedex,Delivered
359,20121,22/10/21,,fedex,Delivered
360,5170,10/7/2020,,bluedart,Delivered
361,20584,5/1/2024,,dhl,Delivered
362,20157,29/03/21,,fedex,Delivered
363,2582,5/4/2020,,bluedart,Delivered
364,5409,10/8/2023,,dhl,Delivered
365,21174,10/8/2021,,ups,Delivered
366,18716,12/10/2023,,fedex,Delivered
367,15795,17/06/22,,dhl,Delivered
368,14355,17/09/20,,fedex,Delivered
369,19269,28/11/22,,ups,Delivered
370,7804,8/1/2024,,ups,Delivered
371,7794,24/11/22,,fedex,Delivered
372,16866,15/02/22,,fedex,Delivered
373,5187,19/12/21,,fedex,Delivered
374,18935,29/10/20,,fedex,Delivered
375,16206,5/4/2022,,ups,Delivered
376,6124,15/09/22,,dhl,Delivered
377,6367,2/5/2021,,dhl,Delivered
378,844,17/07/22,,dhl,Delivered
379,5783,26/11/21,,bluedart,Delivered
380,13317,16/09/22,,bluedart,Delivered
381,3895,5/4/2020,,dhl,Delivered
382,11326,2/4/2022,,ups,Delivered
383,2133,14/12/23,,bluedart,Delivered
384,16939,13/06/23,,ups,Delivered
385,10634,1/4/2022,,dhl,Delivered
386,7316,3/9/2021,,dhl,Delivered
387,7177,25/12/20,,bluedart,Delivered
388,17528,5/12/2022,,ups,Delivered
389,6709,12/6/2020,,ups,Delivered
390,7245,16/10/22,,bluedart,Delivered
391,7755,25/09/20,,fedex,Delivered
392,16152,17/05/22,,bluedart,Delivered
393,14440,18/11/20,,fedex,Delivered
394,19818,5/3/2021,,fedex,Delivered
395,5556,10/1/2020,,bluedart,Delivered
396,18565,4/11/2021,,fedex,Delivered
397,9660,18/03/21,,ups,Delivered
398,12708,9/12/2022,,dhl,Delivered
399,4884,4/11/2022,,ups,Delivered
400,19865,6/4/2022,,ups,Delivered
401,8877,25/02/20,,bluedart,Delivered
402,6730,1/6/2022,,dhl,Delivered
403,7667,29/03/22,,fedex,Delivered
404,10843,31/08/21,,ups,Delivered
405,20552,9/3/2020,,bluedart,Delivered
406,18445,13/01/21,,fedex,Delivered
407,11621,1/3/2023,,ups,Delivered
408,14032,24/11/22,,ups,Delivered
409,12502,16/05/22,,fedex,Delivered
410,13520,20/12/23,,dhl,Delivered
411,8924,2/2/2022,,bluedart,Delivered
412,2081,29/08/23,,fedex,Delivered
413,19244,5/7/2023,,fedex,Delivered
414,18044,25/05/20,,dhl,Delivered
415,5017,31/01/23,,dhl,Delivered
416,13667,11/10/2021,,dhl,Delivered
417,13724,26/02/20,,dhl,Delivered
418,2109,27/08/20,,fedex,Delivered
419,887,15/08/21,,dhl,Delivered
420,16709,19/12/20,,fedex,Delivered
421,7344,27/01/20,,dhl,Delivered
422,9244,1/2/2020,,bluedart,Delivered
423,1114,26/07/20,,fedex,Delivered
424,18784,11/5/2022,,dhl,Delivered
425,16557,26/11/21,,fedex,Delivered
426,17070,29/10/20,,bluedart,Delivered
427,21340,8/1/2020,,bluedart,Delivered
428,20324,13/01/20,,fedex,Delivered
429,8660,5/6/2021,,bluedart,Delivered
430,2291,14/10/20,,fedex,Delivered
431,1593,29/12/22,,dhl,Delivered
432,16694,3/5/2021,,fedex,Delivered
433,6842,24/03/21,,fedex,Delivered
434,14582,11/1/2021,,bluedart,Delivered
435,11978,3/2/2021,,dhl,Delivered
436,7045,11/11/2020,,bluedart,Delivered
437,14242,3/5/2020,,ups,Delivered
438,6410,24/03/23,,ups,Delivered
439,8923,31/12/20,,fedex,Delivered
440,2443,18/07/22,,fedex,Delivered
441,16731,18/07/20,,dhl,Delivered
442,16538,10/5/2022,,dhl,Delivered
443,19529,30/01/21,,bluedart,Delivered
444,14764,27/10/21,,fedex,Delivered
445,17874,12/7/2023,,bluedart,Delivered
446,7296,15/04/23,,ups,Delivered
447,11690,28/06/20,,bluedart,Delivered
448,3943,21/10/22,,fedex,Delivered
449,16910,28/08/21,,bluedart,Delivered
450,21321,29/04/22,,bluedart,Delivered
451,2607,4/12/2021,,fedex,Delivered
452,11198,12/1/2020,,fedex,Delivered
453,11528,7/6/2022,,dhl,Delivered
454,15519,11/3/2021,,ups,Delivered
455,12888,30/09/21,,fedex,Delivered
456,16913,13/06/21,,bluedart,Delivered
457,16404,22/01/22,,ups,Delivered
458,3048,21/10/23,,fedex,Delivered
459,18019,6/8/2020,,ups,Delivered
460,5129,27/10/22,,bluedart,Delivered
461,9280,11/12/2023,,dhl,Delivered
462,15973,30/07/23,,ups,Delivered
463,5493,17/09/23,,dhl,Delivered
464,17824,4/4/2021,,bluedart,Delivered
465,20380,8/3/2021,,fedex,Delivered
466,18355,24/10/23,,fedex,Delivered
467,12860,6/11/2022,,dhl,Delivered
468,21548,20/12/22,,dhl,Delivered
469,11648,13/07/22,,ups,Delivered
470,7207,20/02/21,,bluedart,Delivered
471,18478,6/5/2021,,dhl,Delivered
472,11749,5/12/2022,,fedex,Delivered
473,14450,29/08/21,,fedex,Delivered
474,13612,8/5/2023,,ups,Delivered
475,12833,20/11/20,,dhl,Delivered
476,11197,4/11/2022,,dhl,Delivered
477,13946,1/6/2021,,fedex,Delivered
478,10341,25/02/20,,fedex,Delivered
479,3380,5/9/2020,,bluedart,Delivered
480,10007,28/10/22,,fedex,Delivered
481,1349,12/4/2021,,fedex,Delivered
482,19213,30/11/21,,dhl,Delivered
483,21424,26/09/21,,fedex,Delivered
484,6407,4/2/2020,,dhl,Delivered
485,1565,17/04/22,,ups,Delivered
486,12046,9/2/2022,,fedex,Delivered
487,16646,20/10/20,,bluedart,Delivered
488,19750,4/7/2020,,dhl,Delivered
489,8129,28/12/23,,fedex,Delivered
490,17150,8/6/2022,,fedex,Delivered
491,14510,10/9/2021,,bluedart,Delivered
492,2707,2/1/2022,,ups,Delivered
493,15045,26/06/20,,fedex,Delivered
494,19190,30/11/23,,bluedart,Delivered
495,19121,23/08/21,,ups,Delivered
496,4043,4/1/2023,,dhl,Delivered
497,5389,1/4/2021,,ups,Delivered
498,6247,8/2/2023,,bluedart,Delivered
499,10791,10/1/2022,,fedex,Delivered
500,2939,28/07/23,,dhl,Delivered
501,18929,30/06/22,,bluedart,Delivered
502,17688,7/3/2021,,ups,Delivered
503,15518,25/02/21,,bluedart,Delivered
504,6897,12/12/2021,,dhl,Delivered
505,11045,23/01/20,,dhl,Delivered
506,5527,9/2/2020,,dhl,Delivered
507,18109,23/10/21,,ups,Delivered
508,4761,28/01/23,,fedex,Delivered
509,2898,22/12/22,,ups,Delivered
510,6691,4/10/2021,,dhl,Delivered
511,4858,13/05/20,,fedex,Delivered
512,20140,24/01/22,,bluedart,Delivered
513,7480,21/06/20,,ups,Delivered
514,17241,22/08/21,,bluedart,Delivered
515,8668,17/06/21,,fedex,Delivered
516,16188,21/04/21,,bluedart,Delivered
517,11757,3/3/2021,,fedex,Delivered
518,4602,24/11/23,,fedex,Delivered
519,9817,14/07/22,,ups,Delivered
520,12660,11/5/2022,,fedex,Delivered
521,18675,22/09/22,,dhl,Delivered
522,15702,16/06/20,,fedex,Delivered
523,2074,22/04/22,,dhl,Delivered
524,9147,2/9/2022,,fedex,Delivered
525,3755,8/9/2020,,ups,Delivered
526,10336,25/03/20,,ups,Delivered
527,12114,28/02/21,,ups,Delivered
528,7602,7/8/2021,,ups,Delivered
529,20487,13/05/21,,ups,Delivered
530,1534,5/4/2020,,fedex,Delivered
531,21408,20/08/20,,dhl,Delivered
532,10983,20/04/22,,bluedart,Delivered
533,9664,31/03/21,,fedex,Delivered
534,9102,10/11/2021,,dhl,Delivered
535,4127,18/11/22,,dhl,Delivered
536,14360,11/4/2020,,fedex,Delivered
537,192,11/8/2021,,fedex,Delivered
538,4460,25/08/22,,fedex,Delivered
539,1655,27/09/21,,ups,Delivered
540,19118,19/01/20,,fedex,Delivered
541,7858,29/03/23,,ups,Delivered
542,18467,23/04/23,,bluedart,Delivered
543,14142,20/07/23,,bluedart,Delivered
544,18746,7/2/2021,,bluedart,Delivered
545,1561,16/02/23,,bluedart,Delivered
546,2914,13/10/22,,ups,Delivered
547,13645,6/11/2021,,ups,Delivered
548,15230,12/9/2020,,ups,Delivered
549,16981,23/03/22,,ups,Delivered
550,19764,4/3/2023,,dhl,Delivered
551,1448,19/11/20,,bluedart,Delivered
552,3067,9/1/2024,,ups,Delivered
553,1357,11/5/2022,,fedex,Delivered
554,8095,20/11/21,,ups,Delivered
555,8912,7/12/2023,,ups,Delivered
556,12080,16/05/20,,ups,Delivered
557,86,29/11/21,,bluedart,Delivered
558,5406,13/11/23,,bluedart,Delivered
559,8977,25/05/22,,fedex,Delivered
560,214,28/07/20,,bluedart,Delivered
561,10649,28/01/23,,ups,Delivered
562,4663,16/11/22,,fedex,Delivered
563,17419,30/03/21,,dhl,Delivered
564,20366,14/08/22,,dhl,Delivered
565,16245,31/05/20,,ups,Delivered
566,11525,14/11/20,,bluedart,Delivered
567,5933,27/01/22,,ups,Delivered
568,9576,2/2/2024,,ups,Delivered
569,9651,6/7/2022,,dhl,Delivered
570,3879,12/9/2023,,ups,Delivered
571,18554,21/01/21,,dhl,Delivered
572,11486,15/05/21,,bluedart,Delivered
573,205,25/08/22,,ups,Delivered
574,11899,3/6/2022,,bluedart,Delivered
575,587,20/08/21,,bluedart,Delivered
576,18984,19/01/23,,bluedart,Delivered
577,15018,13/09/23,,ups,Delivered
578,12713,11/11/2020,,bluedart,Delivered
579,1020,1/11/2023,,fedex,Delivered
580,15000,10/5/2021,,dhl,Delivered
581,15517,27/07/20,,fedex,Delivered
582,20752,3/12/2020,,dhl,Delivered
583,10660,30/05/22,,bluedart,Delivered
584,11474,29/08/22,,ups,Delivered
585,15224,29/05/23,,bluedart,Delivered
586,7347,16/08/22,,dhl,Delivered
587,21505,21/08/22,,ups,Delivered
588,8594,28/06/22,,fedex,Delivered
589,15060,18/08/22,,bluedart,Delivered
590,6722,23/05/20,,ups,Delivered
591,11791,26/02/22,,dhl,Delivered
592,14793,31/05/21,,bluedart,Delivered
593,14913,22/01/24,,fedex,Delivered
594,12476,16/01/22,,ups,Delivered
595,4569,3/1/2022,,fedex,Delivered
596,1640,22/11/21,,fedex,Delivered
597,3935,21/06/23,,fedex,Delivered
598,13574,21/04/20,,fedex,Delivered
599,10718,22/08/20,,fedex,Delivered
600,4060,11/10/2021,,dhl,Delivered
601,3362,18/02/23,,fedex,Delivered
602,14695,18/04/22,,fedex,Delivered
603,1149,5/1/2022,,dhl,Delivered
604,6188,3/6/2021,,ups,Delivered
605,3230,14/05/21,,fedex,Delivered
606,805,6/8/2023,,dhl,Delivered
607,2498,28/06/21,,ups,Delivered
608,12433,9/10/2022,,fedex,Delivered
609,20621,2/7/2023,,fedex,Delivered
610,7244,30/05/21,,fedex,Delivered
611,8015,2/7/2023,,fedex,Delivered
612,16848,7/10/2023,,dhl,Delivered
613,1268,24/12/21,,dhl,Delivered
614,11811,23/12/23,,bluedart,Delivered
615,6403,30/03/21,,ups,Delivered
616,13758,27/09/21,,fedex,Delivered
617,8530,13/12/21,,dhl,Delivered
618,2861,29/05/22,,bluedart,Delivered
619,7034,28/12/22,,fedex,Delivered
620,4039,27/10/21,,fedex,Delivered
621,16038,1/5/2020,,bluedart,Delivered
622,9610,7/9/2023,,fedex,Delivered
623,9641,14/06/20,,fedex,Delivered
624,11127,11/7/2021,,ups,Delivered
625,7076,21/12/21,,bluedart,Delivered
626,6652,4/6/2022,,ups,Delivered
627,21056,22/08/21,,fedex,Delivered
628,1378,8/10/2023,,dhl,Delivered
629,21207,19/04/23,,ups,Delivered
630,3124,5/10/2020,,ups,Delivered
631,9507,27/09/23,,fedex,Delivered
632,8444,12/12/2021,,ups,Delivered
633,11961,26/11/23,,ups,Delivered
634,19104,23/05/21,,ups,Delivered
635,16070,19/12/21,,ups,Delivered
636,11557,4/2/2020,,fedex,Delivered
637,15347,18/12/20,,bluedart,Delivered
638,841,20/04/23,,bluedart,Delivered
639,3637,30/10/21,,bluedart,Delivered
640,17960,26/11/23,,dhl,Delivered
641,16235,12/6/2020,,fedex,Delivered
642,10431,6/7/2022,,fedex,Delivered
643,11382,25/06/21,,ups,Delivered
644,15949,17/12/20,,bluedart,Delivered
645,10404,4/8/2022,,dhl,Delivered
646,15560,27/09/21,,fedex,Delivered
647,2820,4/2/2022,,bluedart,Delivered
648,5107,19/07/20,,ups,Delivered
649,11870,24/12/20,,bluedart,Delivered
650,7653,31/12/23,,ups,Delivered
651,20810,17/06/23,,dhl,Delivered
652,9528,5/5/2023,,bluedart,Delivered
